recv[0] = -1.240997, hard = 0
recv[1] = -0.730805, hard = 0
recv[2] = -1.161284, hard = 0
recv[3] = -0.802795, hard = 0
recv[4] = 0.949213, hard = 1
recv[5] = 1.996036, hard = 1
recv[6] = 0.342487, hard = 1
recv[7] = -1.977946, hard = 0
recv[8] = 1.569876, hard = 1
recv[9] = -2.045826, hard = 0
recv[10] = 1.392062, hard = 1
recv[11] = -2.358844, hard = 0
recv[12] = -1.614605, hard = 0
recv[13] = -0.829321, hard = 0
recv[14] = -1.981824, hard = 0
recv[15] = 0.704029, hard = 1
recv[16] = 1.280318, hard = 1
recv[17] = -1.012067, hard = 0
recv[18] = 2.378135, hard = 1
recv[19] = -0.863730, hard = 0
recv[20] = 0.368040, hard = 1
recv[21] = -1.643548, hard = 0
recv[22] = 0.989315, hard = 1
recv[23] = 0.854592, hard = 1
recv[24] = -1.559319, hard = 0
recv[25] = 0.026302, hard = 1
recv[26] = -0.740824, hard = 0
recv[27] = -1.063784, hard = 0
recv[28] = -0.087158, hard = 0
recv[29] = -1.575916, hard = 0
recv[30] = 0.867049, hard = 1
recv[31] = -0.984913, hard = 0
recv[32] = 1.146736, hard = 1
recv[33] = 1.086779, hard = 1
recv[34] = 0.953244, hard = 1
recv[35] = 1.708148, hard = 1
recv[36] = 1.627381, hard = 1
recv[37] = -0.939417, hard = 0
recv[38] = -1.037195, hard = 0
recv[39] = -0.406933, hard = 0
recv[40] = -1.432339, hard = 0
recv[41] = 1.422302, hard = 1
recv[42] = -0.494049, hard = 0
recv[43] = -2.304311, hard = 0
recv[44] = -0.955124, hard = 0
recv[45] = -0.855465, hard = 0
recv[46] = 0.956056, hard = 1
recv[47] = -0.858598, hard = 0
recv[48] = -1.414733, hard = 0
recv[49] = 1.437697, hard = 1
recv[50] = -1.147925, hard = 0
recv[51] = -0.455608, hard = 0
recv[52] = -0.945291, hard = 0
recv[53] = 1.054139, hard = 1
recv[54] = 2.941067, hard = 1
recv[55] = -1.092468, hard = 0
recv[56] = 0.770901, hard = 1
recv[57] = -0.930826, hard = 0
recv[58] = -0.300928, hard = 0
