recv[0] = -1.331248, hard = 0
recv[1] = -1.633158, hard = 0
recv[2] = 2.222334, hard = 1
recv[3] = 1.378338, hard = 1
recv[4] = -0.860710, hard = 0
recv[5] = -1.559354, hard = 0
recv[6] = 2.248173, hard = 1
recv[7] = 1.342154, hard = 1
recv[8] = 1.053096, hard = 1
recv[9] = 0.614438, hard = 1
recv[10] = 1.079416, hard = 1
recv[11] = 0.231429, hard = 1
recv[12] = -1.587807, hard = 0
recv[13] = -1.464404, hard = 0
recv[14] = 0.513611, hard = 1
recv[15] = 1.648237, hard = 1
recv[16] = 0.717900, hard = 1
recv[17] = 1.263287, hard = 1
recv[18] = -0.828674, hard = 0
recv[19] = -1.085736, hard = 0
recv[20] = -1.468231, hard = 0
recv[21] = -0.924198, hard = 0
recv[22] = 1.401536, hard = 1
recv[23] = 0.970783, hard = 1
recv[24] = 0.440650, hard = 1
recv[25] = -0.682426, hard = 0
recv[26] = 1.588804, hard = 1
recv[27] = 2.188652, hard = 1
recv[28] = 0.782891, hard = 1
recv[29] = 1.358031, hard = 1
recv[30] = 2.557483, hard = 1
recv[31] = 1.690361, hard = 1
recv[32] = 0.577930, hard = 1
recv[33] = -1.615920, hard = 0
recv[34] = 1.385278, hard = 1
recv[35] = -1.240946, hard = 0
recv[36] = 0.603785, hard = 1
recv[37] = 1.874145, hard = 1
recv[38] = -0.593691, hard = 0
recv[39] = -1.545849, hard = 0
recv[40] = 0.426824, hard = 1
recv[41] = 1.433270, hard = 1
recv[42] = 2.030830, hard = 1
recv[43] = -0.249853, hard = 0
recv[44] = -1.104273, hard = 0
recv[45] = 0.783233, hard = 1
recv[46] = 1.207758, hard = 1
recv[47] = 1.752884, hard = 1
recv[48] = -1.508647, hard = 0
recv[49] = -1.642858, hard = 0
recv[50] = -1.899921, hard = 0
recv[51] = 1.334032, hard = 1
recv[52] = 2.372865, hard = 1
recv[53] = -0.037916, hard = 0
recv[54] = 1.838569, hard = 1
recv[55] = 0.635381, hard = 1
recv[56] = -0.074850, hard = 0
recv[57] = -0.846266, hard = 0
recv[58] = 1.600591, hard = 1
recv[59] = -0.395657, hard = 0
recv[60] = -0.209390, hard = 0
recv[61] = 0.797754, hard = 1
recv[62] = -0.817674, hard = 0
recv[63] = -2.554464, hard = 0
recv[64] = -1.154177, hard = 0
recv[65] = 0.299010, hard = 1
recv[66] = -1.616493, hard = 0
recv[67] = 0.872675, hard = 1
recv[68] = 0.765874, hard = 1
recv[69] = -1.612840, hard = 0
recv[70] = 1.243799, hard = 1
recv[71] = -1.095025, hard = 0
recv[72] = 1.402657, hard = 1
recv[73] = 0.777924, hard = 1
recv[74] = -1.590307, hard = 0
recv[75] = -1.003379, hard = 0
recv[76] = 1.327552, hard = 1
recv[77] = 0.659293, hard = 1
recv[78] = 1.898136, hard = 1
recv[79] = 0.708286, hard = 1
recv[80] = -1.366126, hard = 0
recv[81] = -1.567227, hard = 0
recv[82] = -0.596875, hard = 0
recv[83] = 1.398634, hard = 1
recv[84] = -1.008437, hard = 0
recv[85] = 0.249100, hard = 1
recv[86] = -0.693110, hard = 0
recv[87] = -1.380597, hard = 0
recv[88] = 1.579898, hard = 1
recv[89] = 0.085990, hard = 1
recv[90] = -0.181414, hard = 0
recv[91] = 1.690017, hard = 1
recv[92] = -0.196389, hard = 0
recv[93] = -0.188929, hard = 0
recv[94] = 1.538068, hard = 1
recv[95] = 1.849155, hard = 1
recv[96] = -1.686575, hard = 0
recv[97] = -0.219012, hard = 0
recv[98] = -2.070065, hard = 0
recv[99] = 0.299173, hard = 1
recv[100] = -0.818273, hard = 0
recv[101] = -0.422837, hard = 0
recv[102] = 1.451015, hard = 1
recv[103] = 0.531038, hard = 1
recv[104] = 1.003495, hard = 1
recv[105] = 1.863641, hard = 1
recv[106] = -1.059552, hard = 0
recv[107] = -1.401886, hard = 0
recv[108] = -0.142521, hard = 0
recv[109] = 0.331830, hard = 1
recv[110] = -0.350666, hard = 0
recv[111] = 1.438394, hard = 1
recv[112] = -0.349829, hard = 0
recv[113] = -0.820499, hard = 0
recv[114] = -1.130569, hard = 0
recv[115] = -1.305414, hard = 0
recv[116] = -0.496409, hard = 0
recv[117] = -1.220561, hard = 0
recv[118] = -1.966748, hard = 0
recv[119] = 1.325586, hard = 1
recv[120] = 1.810582, hard = 1
recv[121] = -2.349419, hard = 0
recv[122] = -0.179907, hard = 0
recv[123] = -1.264690, hard = 0
recv[124] = -2.101608, hard = 0
recv[125] = 0.811555, hard = 1
recv[126] = 2.253301, hard = 1
recv[127] = -0.111007, hard = 0
recv[128] = -0.859133, hard = 0
recv[129] = 1.099299, hard = 1
recv[130] = 0.525644, hard = 1
recv[131] = 0.826991, hard = 1
recv[132] = -0.355298, hard = 0
recv[133] = -0.111537, hard = 0
recv[134] = 0.013719, hard = 1
recv[135] = 0.488312, hard = 1
