recv[0] = -0.734996, hard = 0
recv[1] = -1.617258, hard = 0
recv[2] = 1.576182, hard = 1
recv[3] = -0.419005, hard = 0
recv[4] = -1.030839, hard = 0
recv[5] = -1.193099, hard = 0
recv[6] = -0.880911, hard = 0
recv[7] = -0.515075, hard = 0
recv[8] = -1.453948, hard = 0
recv[9] = -1.417657, hard = 0
recv[10] = -1.460427, hard = 0
recv[11] = -2.385024, hard = 0
recv[12] = -1.788877, hard = 0
recv[13] = -1.132235, hard = 0
recv[14] = -1.132709, hard = 0
recv[15] = 0.479964, hard = 1
recv[16] = -2.718918, hard = 0
recv[17] = 0.005076, hard = 1
recv[18] = -0.246523, hard = 0
recv[19] = -1.264212, hard = 0
recv[20] = -2.665963, hard = 0
recv[21] = -0.666119, hard = 0
recv[22] = -1.519740, hard = 0
recv[23] = -1.398077, hard = 0
recv[24] = -1.033865, hard = 0
recv[25] = -0.923757, hard = 0
recv[26] = -0.171110, hard = 0
recv[27] = -0.301498, hard = 0
recv[28] = -0.146766, hard = 0
recv[29] = -1.653102, hard = 0
recv[30] = -1.344521, hard = 0
recv[31] = -1.840343, hard = 0
recv[32] = 0.382010, hard = 1
recv[33] = -2.194797, hard = 0
recv[34] = -1.181869, hard = 0
recv[35] = -2.201767, hard = 0
recv[36] = -0.364188, hard = 0
recv[37] = -1.673095, hard = 0
recv[38] = -1.180810, hard = 0
recv[39] = -0.225942, hard = 0
recv[40] = -1.669194, hard = 0
recv[41] = -1.538654, hard = 0
recv[42] = -1.979869, hard = 0
recv[43] = -2.425115, hard = 0
recv[44] = -2.264369, hard = 0
recv[45] = -0.372123, hard = 0
recv[46] = -1.504081, hard = 0
recv[47] = -1.706293, hard = 0
recv[48] = 0.020212, hard = 1
recv[49] = -1.696112, hard = 0
recv[50] = 0.386386, hard = 1
recv[51] = -0.987431, hard = 0
recv[52] = -0.704040, hard = 0
recv[53] = -0.129841, hard = 0
recv[54] = -1.439082, hard = 0
recv[55] = -1.355907, hard = 0
recv[56] = -1.847730, hard = 0
recv[57] = -0.511849, hard = 0
recv[58] = -1.322546, hard = 0
recv[59] = -0.773899, hard = 0
recv[60] = -0.843883, hard = 0
recv[61] = 0.432696, hard = 1
recv[62] = -1.998046, hard = 0
recv[63] = -0.280925, hard = 0
recv[64] = -1.445840, hard = 0
recv[65] = -1.410132, hard = 0
recv[66] = -2.092348, hard = 0
recv[67] = -1.201945, hard = 0
recv[68] = -1.790655, hard = 0
recv[69] = 0.218898, hard = 1
recv[70] = -0.831518, hard = 0
recv[71] = -1.354936, hard = 0
recv[72] = -3.083333, hard = 0
recv[73] = -0.902908, hard = 0
recv[74] = -0.071973, hard = 0
recv[75] = -0.902074, hard = 0
recv[76] = -2.273690, hard = 0
recv[77] = -1.906260, hard = 0
recv[78] = 1.184739, hard = 1
recv[79] = -1.393159, hard = 0
recv[80] = -0.213919, hard = 0
recv[81] = -2.060109, hard = 0
recv[82] = -1.141527, hard = 0
recv[83] = -2.226089, hard = 0
recv[84] = -1.255181, hard = 0
recv[85] = -0.736403, hard = 0
recv[86] = -1.047462, hard = 0
recv[87] = -0.065567, hard = 0
recv[88] = -1.758758, hard = 0
recv[89] = 0.041804, hard = 1
recv[90] = -1.572258, hard = 0
recv[91] = -0.771925, hard = 0
recv[92] = 1.052575, hard = 1
recv[93] = -1.419066, hard = 0
recv[94] = -0.984089, hard = 0
recv[95] = -1.600032, hard = 0
recv[96] = -1.250840, hard = 0
recv[97] = 0.035131, hard = 1
recv[98] = -1.509640, hard = 0
recv[99] = -1.170712, hard = 0
recv[100] = -1.776966, hard = 0
recv[101] = -1.466799, hard = 0
recv[102] = -0.568633, hard = 0
recv[103] = -1.916035, hard = 0
recv[104] = -2.390974, hard = 0
recv[105] = -1.170618, hard = 0
recv[106] = -0.674119, hard = 0
recv[107] = -2.288454, hard = 0
recv[108] = -2.765846, hard = 0
recv[109] = -1.341874, hard = 0
recv[110] = -1.014576, hard = 0
recv[111] = -0.518068, hard = 0
recv[112] = -1.666769, hard = 0
recv[113] = 0.283100, hard = 1
recv[114] = 0.080459, hard = 1
recv[115] = -1.095164, hard = 0
recv[116] = -0.287549, hard = 0
recv[117] = -1.242554, hard = 0
recv[118] = 0.120949, hard = 1
recv[119] = -0.952010, hard = 0
recv[120] = -1.374997, hard = 0
recv[121] = -1.534248, hard = 0
recv[122] = 0.453065, hard = 1
recv[123] = -1.093115, hard = 0
recv[124] = -2.641086, hard = 0
recv[125] = -1.514032, hard = 0
recv[126] = -2.069932, hard = 0
recv[127] = -1.384544, hard = 0
recv[128] = -1.025782, hard = 0
recv[129] = -0.670815, hard = 0
recv[130] = -0.580458, hard = 0
recv[131] = -1.310156, hard = 0
recv[132] = 0.117184, hard = 1
recv[133] = -0.846534, hard = 0
recv[134] = -0.938030, hard = 0
recv[135] = -0.476393, hard = 0
recv[136] = 0.274938, hard = 1
recv[137] = -0.126792, hard = 0
recv[138] = -0.217578, hard = 0
recv[139] = -2.268675, hard = 0
recv[140] = -1.765819, hard = 0
recv[141] = -1.830639, hard = 0
recv[142] = -0.994039, hard = 0
recv[143] = -1.867612, hard = 0
recv[144] = -1.321376, hard = 0
recv[145] = -1.321080, hard = 0
recv[146] = -1.503918, hard = 0
recv[147] = -1.553676, hard = 0
recv[148] = -0.055002, hard = 0
recv[149] = 0.405409, hard = 1
recv[150] = -1.076389, hard = 0
recv[151] = -1.437336, hard = 0
recv[152] = -1.452821, hard = 0
recv[153] = -0.012036, hard = 0
recv[154] = -0.338115, hard = 0
recv[155] = -1.464802, hard = 0
recv[156] = -1.810281, hard = 0
recv[157] = -0.661829, hard = 0
recv[158] = -0.595407, hard = 0
recv[159] = -1.665813, hard = 0
recv[160] = -0.751561, hard = 0
recv[161] = -2.355336, hard = 0
recv[162] = -1.957920, hard = 0
recv[163] = -1.349878, hard = 0
recv[164] = -1.826353, hard = 0
recv[165] = -1.529884, hard = 0
recv[166] = -0.944261, hard = 0
recv[167] = -0.572208, hard = 0
recv[168] = -0.074600, hard = 0
recv[169] = -1.116428, hard = 0
recv[170] = 1.369671, hard = 1
recv[171] = -2.089971, hard = 0
recv[172] = -0.619205, hard = 0
recv[173] = -1.063648, hard = 0
recv[174] = -1.369478, hard = 0
recv[175] = -0.589807, hard = 0
recv[176] = -0.126516, hard = 0
recv[177] = -1.617409, hard = 0
recv[178] = -0.411026, hard = 0
recv[179] = -0.724389, hard = 0
recv[180] = -1.520768, hard = 0
recv[181] = -1.855116, hard = 0
recv[182] = -0.464183, hard = 0
recv[183] = -1.210965, hard = 0
recv[184] = -2.017222, hard = 0
recv[185] = -0.960865, hard = 0
recv[186] = -1.316355, hard = 0
recv[187] = -0.203002, hard = 0
recv[188] = -2.554190, hard = 0
recv[189] = -0.171415, hard = 0
recv[190] = -1.076797, hard = 0
recv[191] = -0.959167, hard = 0
recv[192] = -1.909126, hard = 0
recv[193] = -1.568048, hard = 0
recv[194] = -1.787457, hard = 0
recv[195] = -1.135987, hard = 0
recv[196] = -1.891444, hard = 0
recv[197] = -0.478446, hard = 0
recv[198] = 0.041570, hard = 1
recv[199] = -1.261910, hard = 0
recv[200] = 0.432242, hard = 1
recv[201] = -1.978287, hard = 0
recv[202] = -0.572903, hard = 0
recv[203] = -2.447445, hard = 0
recv[204] = 0.419813, hard = 1
recv[205] = -0.515056, hard = 0
recv[206] = -0.755629, hard = 0
recv[207] = -0.563261, hard = 0
recv[208] = -1.277636, hard = 0
recv[209] = -1.555605, hard = 0
recv[210] = 0.038602, hard = 1
recv[211] = -1.107368, hard = 0
recv[212] = -0.112211, hard = 0
recv[213] = -0.534279, hard = 0
recv[214] = -1.642692, hard = 0
recv[215] = -0.780235, hard = 0
recv[216] = -0.492886, hard = 0
recv[217] = -1.220081, hard = 0
recv[218] = -1.108804, hard = 0
recv[219] = -1.333499, hard = 0
recv[220] = -0.857959, hard = 0
recv[221] = -1.486971, hard = 0
recv[222] = -1.955823, hard = 0
recv[223] = -1.233689, hard = 0
recv[224] = -1.578580, hard = 0
recv[225] = -1.292882, hard = 0
recv[226] = -1.588036, hard = 0
recv[227] = 0.352179, hard = 1
recv[228] = -0.723087, hard = 0
recv[229] = -0.647284, hard = 0
