recv[0] = -0.136568, hard = 0
recv[1] = -1.248750, hard = 0
recv[2] = -0.073318, hard = 0
recv[3] = 0.686156, hard = 1
recv[4] = -0.606530, hard = 0
recv[5] = -0.490227, hard = 0
recv[6] = -1.508862, hard = 0
recv[7] = -0.444663, hard = 0
recv[8] = -1.052411, hard = 0
recv[9] = -2.082245, hard = 0
recv[10] = -2.340114, hard = 0
recv[11] = -1.528033, hard = 0
recv[12] = -0.951831, hard = 0
recv[13] = -1.748910, hard = 0
recv[14] = -0.121825, hard = 0
recv[15] = -1.020453, hard = 0
recv[16] = -1.232705, hard = 0
recv[17] = -1.350324, hard = 0
recv[18] = -1.709861, hard = 0
recv[19] = -1.256229, hard = 0
recv[20] = -1.538826, hard = 0
recv[21] = -1.680678, hard = 0
recv[22] = -1.164946, hard = 0
recv[23] = 0.073394, hard = 1
recv[24] = -1.159211, hard = 0
recv[25] = -3.360540, hard = 0
recv[26] = -0.238601, hard = 0
recv[27] = -0.516104, hard = 0
recv[28] = -0.773772, hard = 0
recv[29] = 0.179258, hard = 1
recv[30] = -1.555121, hard = 0
recv[31] = 0.247340, hard = 1
recv[32] = -2.715519, hard = 0
recv[33] = -0.639649, hard = 0
recv[34] = -1.002921, hard = 0
recv[35] = 0.540850, hard = 1
recv[36] = 0.108159, hard = 1
recv[37] = -0.605876, hard = 0
recv[38] = -0.438806, hard = 0
recv[39] = -1.992393, hard = 0
recv[40] = -0.468485, hard = 0
recv[41] = -0.282396, hard = 0
recv[42] = -0.379201, hard = 0
recv[43] = -0.548090, hard = 0
recv[44] = -2.002083, hard = 0
recv[45] = -1.245389, hard = 0
recv[46] = -0.357079, hard = 0
recv[47] = -1.295945, hard = 0
recv[48] = -0.562164, hard = 0
recv[49] = 0.063132, hard = 1
recv[50] = -2.298459, hard = 0
recv[51] = -1.296260, hard = 0
recv[52] = -0.529082, hard = 0
recv[53] = -1.276120, hard = 0
recv[54] = -0.798571, hard = 0
recv[55] = -0.276093, hard = 0
recv[56] = 0.448410, hard = 1
recv[57] = -1.633216, hard = 0
recv[58] = 0.799367, hard = 1
recv[59] = 0.746052, hard = 1
recv[60] = -2.178296, hard = 0
recv[61] = -0.699655, hard = 0
recv[62] = -0.227630, hard = 0
recv[63] = -0.507650, hard = 0
recv[64] = -0.193264, hard = 0
recv[65] = -1.143049, hard = 0
recv[66] = -0.559188, hard = 0
recv[67] = -1.590542, hard = 0
recv[68] = -1.267315, hard = 0
recv[69] = -1.480000, hard = 0
recv[70] = 0.105693, hard = 1
recv[71] = -1.033853, hard = 0
recv[72] = -1.241569, hard = 0
recv[73] = -0.626790, hard = 0
recv[74] = -0.069910, hard = 0
recv[75] = -1.078715, hard = 0
recv[76] = -1.798186, hard = 0
recv[77] = -1.509949, hard = 0
recv[78] = -0.736872, hard = 0
recv[79] = -1.830563, hard = 0
recv[80] = -1.018353, hard = 0
recv[81] = -1.647645, hard = 0
recv[82] = -0.106462, hard = 0
recv[83] = -1.494177, hard = 0
recv[84] = -1.610531, hard = 0
recv[85] = 0.119627, hard = 1
recv[86] = -0.100274, hard = 0
recv[87] = 0.174185, hard = 1
recv[88] = -0.320488, hard = 0
recv[89] = -0.776888, hard = 0
recv[90] = 0.190497, hard = 1
recv[91] = -1.370037, hard = 0
recv[92] = -1.553999, hard = 0
recv[93] = -1.337810, hard = 0
recv[94] = -2.889078, hard = 0
recv[95] = -0.163688, hard = 0
recv[96] = -0.093781, hard = 0
recv[97] = -1.704943, hard = 0
recv[98] = -0.714395, hard = 0
recv[99] = -0.586748, hard = 0
recv[100] = -1.667243, hard = 0
recv[101] = -0.883526, hard = 0
recv[102] = -1.726182, hard = 0
recv[103] = -1.437889, hard = 0
recv[104] = 1.956451, hard = 1
recv[105] = -1.282469, hard = 0
recv[106] = -0.922731, hard = 0
recv[107] = -0.396306, hard = 0
recv[108] = 0.056230, hard = 1
recv[109] = -1.147822, hard = 0
recv[110] = -0.899517, hard = 0
recv[111] = -2.157631, hard = 0
recv[112] = -1.810053, hard = 0
recv[113] = -0.512514, hard = 0
recv[114] = -1.349716, hard = 0
recv[115] = -1.792374, hard = 0
recv[116] = 0.407259, hard = 1
recv[117] = -0.790364, hard = 0
recv[118] = -0.978344, hard = 0
recv[119] = -0.656351, hard = 0
recv[120] = -1.348427, hard = 0
recv[121] = -1.906466, hard = 0
recv[122] = -1.911358, hard = 0
recv[123] = -0.713835, hard = 0
recv[124] = -1.118837, hard = 0
recv[125] = -1.474479, hard = 0
recv[126] = -1.038792, hard = 0
recv[127] = -1.498235, hard = 0
recv[128] = -1.452273, hard = 0
recv[129] = -0.493624, hard = 0
recv[130] = -0.091129, hard = 0
recv[131] = -2.226121, hard = 0
recv[132] = -0.012689, hard = 0
recv[133] = -0.206984, hard = 0
recv[134] = -1.153979, hard = 0
recv[135] = 0.058165, hard = 1
recv[136] = -0.920583, hard = 0
recv[137] = -1.304488, hard = 0
recv[138] = -0.351177, hard = 0
recv[139] = -2.182490, hard = 0
recv[140] = -0.287232, hard = 0
recv[141] = -0.910394, hard = 0
recv[142] = -1.597145, hard = 0
recv[143] = -1.009027, hard = 0
recv[144] = -1.502809, hard = 0
recv[145] = -1.110469, hard = 0
recv[146] = -0.949101, hard = 0
recv[147] = -2.722667, hard = 0
recv[148] = -1.467251, hard = 0
recv[149] = -1.660376, hard = 0
recv[150] = -1.077545, hard = 0
recv[151] = -1.721276, hard = 0
recv[152] = -1.387971, hard = 0
recv[153] = -0.783945, hard = 0
recv[154] = -1.957614, hard = 0
recv[155] = -1.587873, hard = 0
recv[156] = -0.299324, hard = 0
recv[157] = -0.806572, hard = 0
recv[158] = -0.665497, hard = 0
recv[159] = -0.709478, hard = 0
recv[160] = -1.297208, hard = 0
recv[161] = 1.243871, hard = 1
recv[162] = -0.156651, hard = 0
recv[163] = 0.864976, hard = 1
recv[164] = -1.024775, hard = 0
recv[165] = -0.825451, hard = 0
recv[166] = -0.857721, hard = 0
recv[167] = -0.633317, hard = 0
recv[168] = -0.052085, hard = 0
recv[169] = -1.138238, hard = 0
recv[170] = -2.144398, hard = 0
recv[171] = -1.471922, hard = 0
recv[172] = -1.152013, hard = 0
recv[173] = -0.416185, hard = 0
recv[174] = -0.702231, hard = 0
recv[175] = -1.868761, hard = 0
recv[176] = -0.974354, hard = 0
recv[177] = -2.325806, hard = 0
recv[178] = 0.270171, hard = 1
recv[179] = -0.847345, hard = 0
recv[180] = -0.677714, hard = 0
recv[181] = -1.005961, hard = 0
recv[182] = -0.471970, hard = 0
recv[183] = -0.335336, hard = 0
recv[184] = -2.068251, hard = 0
recv[185] = -0.690925, hard = 0
recv[186] = -0.051673, hard = 0
recv[187] = -0.845711, hard = 0
recv[188] = 0.326496, hard = 1
recv[189] = -1.429802, hard = 0
recv[190] = -0.259601, hard = 0
recv[191] = -1.446077, hard = 0
recv[192] = -1.059203, hard = 0
recv[193] = -0.524893, hard = 0
recv[194] = -1.645912, hard = 0
recv[195] = -2.422436, hard = 0
recv[196] = -0.733130, hard = 0
recv[197] = -0.640007, hard = 0
recv[198] = -0.394046, hard = 0
recv[199] = -0.990011, hard = 0
recv[200] = -0.567273, hard = 0
recv[201] = -0.398630, hard = 0
recv[202] = -1.112446, hard = 0
recv[203] = -3.072465, hard = 0
recv[204] = -1.576618, hard = 0
recv[205] = -0.846613, hard = 0
recv[206] = -1.660570, hard = 0
recv[207] = -2.348181, hard = 0
recv[208] = -1.421260, hard = 0
recv[209] = -1.185336, hard = 0
recv[210] = -1.805052, hard = 0
recv[211] = -1.529632, hard = 0
recv[212] = -2.434674, hard = 0
recv[213] = -1.033539, hard = 0
recv[214] = -1.907526, hard = 0
recv[215] = -0.402728, hard = 0
recv[216] = -0.819477, hard = 0
recv[217] = -0.037838, hard = 0
recv[218] = -1.364012, hard = 0
recv[219] = -1.581947, hard = 0
recv[220] = -2.064759, hard = 0
recv[221] = -0.123137, hard = 0
recv[222] = -1.650128, hard = 0
recv[223] = -1.381797, hard = 0
recv[224] = 0.188357, hard = 1
recv[225] = -0.546321, hard = 0
recv[226] = -1.013686, hard = 0
recv[227] = -1.482637, hard = 0
recv[228] = -0.389403, hard = 0
recv[229] = -2.249980, hard = 0
recv[230] = -0.358804, hard = 0
recv[231] = -1.135665, hard = 0
recv[232] = -1.227029, hard = 0
recv[233] = -0.247720, hard = 0
recv[234] = -1.516249, hard = 0
recv[235] = -2.521151, hard = 0
recv[236] = -2.121217, hard = 0
recv[237] = -1.795241, hard = 0
recv[238] = -0.610796, hard = 0
recv[239] = -0.046234, hard = 0
recv[240] = -1.810530, hard = 0
